[15-04-2023 03:47:28]: PlayasEmre hat PlayasEmre mit Waffe 51 an Part 3 getroffen, Schaden: 1
[06-05-2023 00:44:51]: Pusher30 hat PlayasEmre mit Waffe 24 an Part 3 getroffen, Schaden: 35
[06-05-2023 00:44:58]: Pusher30 hat PlayasEmre mit Waffe 31 an Part 6 getroffen, Schaden: 7
[06-05-2023 00:44:58]: PlayasEmre hat Pusher30 mit Waffe 33 an Part 6 getroffen, Schaden: 12
[06-05-2023 00:44:58]: Pusher30 hat PlayasEmre mit Waffe 31 an Part 6 getroffen, Schaden: 7
[06-05-2023 00:45:01]: Pusher30 hat PlayasEmre mit Waffe 31 an Part 9 getroffen, Schaden: 12
[06-05-2023 00:45:03]: Pusher30 hat PlayasEmre mit Waffe 31 an Part 8 getroffen, Schaden: 7
[06-05-2023 00:45:03]: Pusher30 hat PlayasEmre mit Waffe 31 an Part 8 getroffen, Schaden: 7
[06-05-2023 00:45:03]: Pusher30 hat PlayasEmre mit Waffe 31 an Part 4 getroffen, Schaden: 9
[06-05-2023 00:45:03]: Pusher30 hat PlayasEmre mit Waffe 31 an Part 9 getroffen, Schaden: 12
[06-05-2023 00:45:04]: Pusher30 hat PlayasEmre mit Waffe 31 an Part 8 getroffen, Schaden: 7
[06-05-2023 00:45:11]: Pusher30 hat PlayasEmre mit Waffe 24 an Part 9 getroffen, Schaden: 70
[06-05-2023 00:45:12]: Pusher30 hat PlayasEmre mit Waffe 24 an Part 3 getroffen, Schaden: 35
[06-05-2023 00:45:19]: Pusher30 hat PlayasEmre mit Waffe 24 an Part 6 getroffen, Schaden: 30
[06-05-2023 00:45:20]: Pusher30 hat PlayasEmre mit Waffe 24 an Part 6 getroffen, Schaden: 30
[06-05-2023 00:45:20]: Pusher30 hat PlayasEmre mit Waffe 24 an Part 9 getroffen, Schaden: 70
[06-05-2023 00:45:30]: Pusher30 hat PlayasEmre mit Waffe 24 an Part 5 getroffen, Schaden: 30
[06-05-2023 00:45:30]: PlayasEmre hat Pusher30 mit Waffe 24 an Part 9 getroffen, Schaden: 70
[06-05-2023 00:45:30]: Pusher30 hat PlayasEmre mit Waffe 24 an Part 3 getroffen, Schaden: 35
[06-05-2023 00:45:32]: PlayasEmre hat Pusher30 mit Waffe 24 an Part 3 getroffen, Schaden: 35
[06-05-2023 00:45:40]: Pusher30 hat PlayasEmre mit Waffe 24 an Part 6 getroffen, Schaden: 30
[06-05-2023 00:45:42]: Pusher30 hat PlayasEmre mit Waffe 24 an Part 6 getroffen, Schaden: 30
[06-05-2023 00:45:45]: Pusher30 hat PlayasEmre mit Waffe 24 an Part 3 getroffen, Schaden: 35
[06-05-2023 00:45:45]: PlayasEmre hat Pusher30 mit Waffe 24 an Part 3 getroffen, Schaden: 35
[06-05-2023 00:45:48]: Pusher30 hat PlayasEmre mit Waffe 24 an Part 3 getroffen, Schaden: 35
[06-05-2023 00:45:49]: PlayasEmre hat Pusher30 mit Waffe 24 an Part 3 getroffen, Schaden: 35
[06-05-2023 00:45:50]: PlayasEmre hat Pusher30 mit Waffe 29 an Part 8 getroffen, Schaden: 8
[06-05-2023 00:45:52]: PlayasEmre hat Pusher30 mit Waffe 24 an Part 7 getroffen, Schaden: 30
[06-05-2023 00:45:52]: Pusher30 hat PlayasEmre mit Waffe 24 an Part 6 getroffen, Schaden: 30
[06-05-2023 00:46:02]: Pusher30 hat PlayasEmre mit Waffe 24 an Part 9 getroffen, Schaden: 70
[06-05-2023 00:46:04]: Pusher30 hat PlayasEmre mit Waffe 24 an Part 3 getroffen, Schaden: 35
[06-05-2023 00:46:05]: Pusher30 hat PlayasEmre mit Waffe 24 an Part 9 getroffen, Schaden: 70
[06-05-2023 00:46:06]: Pusher30 hat PlayasEmre mit Waffe 24 an Part 5 getroffen, Schaden: 30
[06-05-2023 00:46:14]: Pusher30 hat PlayasEmre mit Waffe 24 an Part 6 getroffen, Schaden: 30
[06-05-2023 00:46:17]: Pusher30 hat PlayasEmre mit Waffe 24 an Part 3 getroffen, Schaden: 35
[06-05-2023 00:46:17]: Pusher30 hat PlayasEmre mit Waffe 24 an Part 3 getroffen, Schaden: 35
[06-05-2023 00:46:18]: Pusher30 hat PlayasEmre mit Waffe 24 an Part 5 getroffen, Schaden: 30
[06-05-2023 00:46:19]: Pusher30 hat PlayasEmre mit Waffe 24 an Part 9 getroffen, Schaden: 70
[06-05-2023 00:46:30]: Pusher30 hat PlayasEmre mit Waffe 24 an Part 5 getroffen, Schaden: 30
[06-05-2023 00:46:31]: PlayasEmre hat Pusher30 mit Waffe 24 an Part 6 getroffen, Schaden: 30
[06-05-2023 00:46:33]: PlayasEmre hat Pusher30 mit Waffe 24 an Part 3 getroffen, Schaden: 35
[06-05-2023 00:46:35]: PlayasEmre hat Pusher30 mit Waffe 29 an Part 9 getroffen, Schaden: 12
[06-05-2023 00:46:35]: PlayasEmre hat Pusher30 mit Waffe 29 an Part 7 getroffen, Schaden: 8
[06-05-2023 00:46:35]: PlayasEmre hat Pusher30 mit Waffe 29 an Part 8 getroffen, Schaden: 8
